Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter
(2017 UG),2017-Oct-20 10:05Ê±Ê< 00:01,4.27 | 0.01096,4.25 | 0.01092,10.58,10.55,27.5,8.4 m -   19 m
(2017 SY20),2017-Oct-20 10:17Ê±Ê< 00:01,18.89 | 0.04853,18.88 | 0.04852,7.18,7.17,24.2,38 m -   86 m
(2017 UN5),2017-Oct-20 11:34Ê±Ê< 00:01,8.15 | 0.02094,8.11 | 0.02084,7.29,7.27,27.6,8.0 m -   18 m
(2017 UJ2),2017-Oct-20 14:07Ê±Ê< 00:01,0.05 | 0.00012,0.05 | 0.00012,8.48,5.24,30.9,1.8 m -  3.9 m
(2017 UA45),2017-Oct-20 14:32Ê±Ê< 00:01,18.58 | 0.04775,18.58 | 0.04773,4.25,4.24,26.1,16 m -   36 m
(2017 UP),2017-Oct-20 14:32Ê±Ê< 00:01,6.57 | 0.01687,6.50 | 0.01671,14.31,14.30,26.1,16 m -   36 m
(2017 TO2),2017-Oct-20 15:44Ê±Ê< 00:01,13.88 | 0.03566,13.79 | 0.03543,13.67,13.67,23.3,58 m -  130 m
(2017 SH14),2017-Oct-20 20:25Ê±Ê< 00:01,15.33 | 0.03940,15.01 | 0.03857,6.86,6.85,24.4,35 m -   78 m
(2017 UA52),2017-Oct-21 06:25Ê±ÊÊÊÊ01:00,0.51 | 0.00132,0.50 | 0.00130,9.25,9.03,28.5,5.3 m -   12 m
(2017 UH1),2017-Oct-21 07:09Ê±Ê< 00:01,4.94 | 0.01271,4.92 | 0.01264,21.87,21.86,26.1,16 m -   36 m
(2017 UW5),2017-Oct-21 08:47Ê±Ê< 00:01,1.08 | 0.00278,1.08 | 0.00277,14.86,14.80,28.7,4.8 m -   11 m
(2017 TG4),2017-Oct-21 15:07Ê±Ê< 00:01,4.80 | 0.01233,4.80 | 0.01233,11.43,11.41,24.4,35 m -   78 m
(2017 UM1),2017-Oct-21 17:48Ê±Ê< 00:01,6.95 | 0.01787,6.93 | 0.01780,17.29,17.28,25.9,18 m -   39 m
(2017 TC5),2017-Oct-21 19:28Ê±ÊÊÊÊ00:01,15.56 | 0.03999,14.98 | 0.03848,8.32,8.31,26.2,15 m -   34 m
(2017 UR5),2017-Oct-21 23:27Ê±Ê< 00:01,3.67 | 0.00943,3.67 | 0.00942,8.53,8.50,28.7,4.8 m -   11 m
(2017 UK5),2017-Oct-21 23:42Ê±Ê< 00:01,9.72 | 0.02498,9.68 | 0.02488,7.65,7.64,25.9,18 m -   39 m
(2017 UJ8),2017-Oct-22 06:40Ê±Ê< 00:01,12.49 | 0.03208,12.38 | 0.03182,13.21,13.21,25.2,24 m -   54 m
(2017 UH6),2017-Oct-22 07:24Ê±ÊÊÊÊ00:01,6.20 | 0.01593,6.16 | 0.01582,20.45,20.44,26.2,15 m -   34 m
(2017 TV5),2017-Oct-22 07:41Ê±Ê< 00:01,3.37 | 0.00865,3.36 | 0.00863,10.71,10.68,26.8,12 m -   26 m
171576 (1999 VP11),2017-Oct-22 11:02Ê±Ê< 00:01,5.77 | 0.01483,5.77 | 0.01483,21.20,21.19,18.6,510 m -  1.1 km
(2017 TQ5),2017-Oct-22 14:03Ê±Ê< 00:01,5.53 | 0.01420,5.52 | 0.01418,5.85,5.82,27.5,8.4 m -   19 m
(2017 UQ2),2017-Oct-22 16:05Ê±Ê< 00:01,5.95 | 0.01529,5.93 | 0.01524,16.16,16.15,25.7,19 m -   43 m
(2017 TQ4),2017-Oct-22 17:11Ê±Ê< 00:01,11.13 | 0.02859,11.08 | 0.02848,10.96,10.95,25,27 m -   59 m
(2017 UC3),2017-Oct-22 17:51Ê±Ê< 00:01,16.02 | 0.04117,15.78 | 0.04054,31.11,31.11,22.7,77 m -  170 m
(2017 US),2017-Oct-22 20:55Ê±Ê< 00:01,7.46 | 0.01917,7.46 | 0.01916,4.06,4.03,26,17 m -   38 m
(2017 UQ7),2017-Oct-22 21:26Ê±Ê< 00:01,5.79 | 0.01489,5.77 | 0.01483,14.50,14.49,25.2,24 m -   54 m
(2017 UZ5),2017-Oct-22 23:05Ê±ÊÊÊÊ00:01,8.15 | 0.02093,8.09 | 0.02078,4.85,4.82,26.6,13 m -   28 m
(2017 UH8),2017-Oct-23 01:55Ê±Ê< 00:01,18.97 | 0.04875,18.77 | 0.04822,11.45,11.44,24.2,38 m -   86 m
(2017 TK6),2017-Oct-23 06:45Ê±Ê< 00:01,19.26 | 0.04949,19.13 | 0.04915,11.68,11.68,24.7,31 m -   68 m
(2017 UO7),2017-Oct-23 19:00Ê±Ê< 00:01,9.18 | 0.02358,9.15 | 0.02350,5.22,5.20,26.8,12 m -   26 m
(2017 UU2),2017-Oct-24 19:18Ê±Ê< 00:01,2.10 | 0.00539,2.09 | 0.00537,11.33,11.29,26.4,14 m -   31 m
(2017 UK3),2017-Oct-24 21:09Ê±Ê< 00:01,1.38 | 0.00356,1.38 | 0.00355,13.31,13.25,27.4,8.8 m -   20 m
(2017 UP5),2017-Oct-24 21:48Ê±Ê< 00:01,6.45 | 0.01659,6.44 | 0.01654,10.20,10.19,27.6,8.0 m -   18 m
(2017 UF43),2017-Oct-25 01:55Ê±Ê< 00:01,12.17 | 0.03128,12.08 | 0.03105,13.80,13.79,23.5,53 m -  120 m
(2017 UH),2017-Oct-25 16:22Ê±Ê< 00:01,15.05 | 0.03866,14.88 | 0.03824,10.96,10.95,26.2,15 m -   34 m
